Grupo,Resistencia_kPa
A,27850
A,26430
A,29120
A,28560
A,25970
A,30210
A,27340
A,26880
A,28900
A,29670
A,27110
A,28440
A,26050
A,30550
A,29830
A,27720
A,28190
